                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    502    96NAS     3        4       27     K571-1     36.9
                    503    96NAS     3       11       28     K576-1     29.6
                    504    96NAS     3        9       29     K577-1     30.4
                    505    96NAS     3       11       30     K468-2     25.4
                    506    96NAS     3        6       31     K480-2     28.5
                    507    96NAS     3        5       32     K487-2     37.6
                    508    96NAS     3       12       33     K490-2     38.8
                    509    96NAS     3        7       34     K492-2     39.0
                    510    96NAS     3        1       35     K494-2     26.5
                    511    96NAS     3        6       36     K495-2     39.1
                    512    96NAS     3        2       37     K497-2     30.2
                    513    96NAS     3        1       38     K498-2     30.5
                    514    96NAS     3       11       39     K499-2     31.5
                    515    96NAS     3        1       40     K514-2     23.9
                    516    96NAS     3        1       41     K507-2     27.3
                    517    96NAS     3        2       42     K508-2     28.8
                    518    96NAS     3        6       43     K515-2     28.6
                    519    96NAS     3        7       44     K573-4     24.0
                    520    96NAS     3       11       45     K524-2     35.4
                    521    96NAS     3        1       46     K525-2     37.7
                    522    96NAS     3        7       47     K534-2     27.6
                    523    96NAS     3        4       48     K542-2     29.8
                    524    96NAS     3       10       49     K543-2     31.6
                    525    96NAS     3        2       50     K555-2     31.8
                    526    96NAS     3        6       51     K561-2     38.9
                    527    96NAS     3       10       52     K566-2     43.3
                    528    96NAS     3        9       53     K569-2     40.4
                    529    96NAS     3        6       54     K573-2     34.7
                    530    96NAS     3        5       55     K577-2     20.6
                    531    96NAS     3        7       56     K469-3     33.4
                    532    96NAS     3        7       57     K471-3     37.7
                    533    96NAS     3        3       58     K473-3     26.8
                    534    96NAS     3        3       59     K531-4     29.8
                    535    96NAS     3        2       60     K487-4     32.1
                    536    96NAS     3       10       61     K491-3     30.8
                    537    96NAS     3        6       62     K495-3     27.8
                    538    96NAS     3        5       63     K501-3     31.0
                    539    96NAS     3        8       64     K502-3     36.7
                    540    96NAS     3       11       65     K556-4     21.1
                    541    96NAS     3        5       66     K513-3     39.7
                    542    96NAS     3       12       67     K514-3     35.5
                    543    96NAS     3        4       68     K469-4     30.9
                    544    96NAS     3       12       69     K524-3     50.9
                    545    96NAS     3        5       70     K526-3     34.3
                    546    96NAS     3       12       71     K530-3     32.5
                    547    96NAS     3        9       72     K531-3     28.9
                    548    96NAS     3        6       73     K532-3     32.5
                    549    96NAS     3        8       74     K538-3     36.7
                    550    96NAS     3        1       75     K544-3     18.9
                                         The SAS System     11:42 Thursday, November 1, 2001  12

                    Obs     env     rep    block    entry     line     yield

                    551    96NAS     3        8       76     K546-3     33.6
                    552    96NAS     3        7       77     K543-4     27.5
                    553    96NAS     3       12       78     K550-3     34.0
                    554    96NAS     3       11       79     K552-3     38.7
                    555    96NAS     3        7       80     K555-3     30.1
                    556    96NAS     3        3       81     K556-3     20.8
